ali00incremental,-224.687160639,344.977774913,179.311620144,-58.2745940687,191.086997619,145.472867044,49.9563520956,-21.7474169419,14.3543826286,-33.4027294663,-5.14522990031,-28.0250675013,-7.87976726473,-15.295775855,10.7588690644,14.6936660021,31.4999515729,1.82432094349,0.590701511775,3.71451763541
precup01offpolicy,28.3615627453,-182.144703409,-149.331805054,139.144990444,-178.926405133,299.935112689,114.178409207,-177.466403495,21.2989241094,58.0178710983,-25.4139634265,90.0846723696,26.9638195581,-29.2315216014,-5.44651368637,-47.4339938239,-50.7948909714,-18.1798415005,-10.0175122628,32.8357343315
511540,-50.7837926903,-39.3373904459,-164.428137917,14.4204567212,-6.9106346587,39.5693886357,-34.6797612917,-13.0508784436,10.972875715,-10.0930290713,-77.9928953113,18.4993161609,20.7977560274,10.4485067192,-6.40885587067,52.2921078241,27.370204874,-31.242729641,24.370330504,-39.1433759763
538839,-154.208692583,123.424448394,-48.9796812818,24.0653988648,-62.7989709883,-61.2837789923,-118.97085062,-77.2416138626,-24.6675299961,24.8802360258,49.7827777778,22.5765249934,17.0906953409,-8.18081494996,8.93557688792,-64.4777700804,-0.452394431322,11.0122508074,10.1609585129,-12.8758161565
prokopenko99situated,183.452015277,-7.58791550416,-68.4456291947,42.5548080294,-43.8912947571,58.058587417,97.1542500191,-54.3272522243,10.4603945853,25.0746747893,77.5900960533,-59.3308976805,24.2168985973,-69.6703577108,-55.0461150623,78.2362065899,51.1510354422,12.8359564452,12.0524635813,-16.3542676103
32521,-54.1136027951,23.439602474,-113.176630967,-82.977178058,-40.069240003,-38.1715841384,-11.4286770523,27.2980122579,-78.5714140805,-8.60323642631,-37.6702827995,62.9165784541,-13.8858541613,102.881990469,-20.8848927654,-14.4547770872,-9.10184865357,7.23219838547,-5.05123973314,-37.6273235402
jain99statistical,24.178053244,-139.113726148,40.1655398627,-86.9463733082,75.6176692159,-102.867213222,40.273122498,34.0683306411,-52.0824436041,27.2360592818,2.40330390285,-65.969144899,28.3988949961,-25.5560778642,29.2203068359,-46.8154658731,-13.1310598425,-1.31301015365,47.3610153834,32.4394328804
marques01providing,388.655292518,76.0274067667,110.515519062,79.9488881207,3.77073502796,71.5002614608,-147.916136993,-26.5628469089,-57.0779600154,-94.6581145751,23.7102279593,2.19774039094,-25.0333565777,85.7512657252,15.6012491345,7.0043912698,4.27821648482,16.1490213239,0.00035623372854,-40.590834145
good99combining,-169.656180343,-69.9505298746,16.4314857044,-69.9948878641,-16.8759688742,-65.2256562742,-53.7203586441,-55.8604670102,-35.9996095664,2.6016284203,4.62402803971,70.8977086812,-12.1344322818,-80.9482358047,-0.386822485289,5.86215044415,-49.9547903579,-25.1740685762,-20.3990763739,-0.849161792197
bederson00jazz,-138.902840215,-109.649944462,9.06700976977,-105.535345389,4.68262593794,-80.0469888599,-7.65335892931,-37.3909617142,8.11175441052,-16.0136694628,32.8990390013,59.5869226514,-17.1990330574,-61.7057795418,42.0455398926,47.1533256731,-48.7274137883,-22.6992246181,29.4208211078,40.4741445778
